metric,comparison,type1,type2,t_statistic,p_value,significant,cohens_d,mean_diff,corrected_p,significant_corrected,significance
accuracy,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
accuracy,fimo vs deep,fimo,deep,0.6217365641798659,0.551547397605399,False,0.39322072948316683,0.019799154334038227,1.0,False,ns
accuracy,fimo vs rp,fimo,rp,7.175769104571194,0.00010580909099549943,True,4.538354866782388,0.2368223866790009,0.0006348545459729965,True,***
accuracy,fimo vs reg,fimo,reg,0.29520334790771424,0.7753581354970899,False,0.18670299045909572,0.008885291396854789,1.0,False,ns
accuracy,deep vs fimo,deep,fimo,-0.6217365641798659,0.551547397605399,False,0.39322072948316683,-0.019799154334038227,1.0,False,ns
accuracy,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
accuracy,deep vs rp,deep,rp,6.322341942586456,0.0002311773459842183,True,3.9986001369973407,0.21702323234496268,0.0013870640759053097,True,**
accuracy,deep vs reg,deep,reg,-0.345985397663434,0.7383796540224108,False,0.2188203787551101,-0.010913862937183438,1.0,False,ns
accuracy,rp vs fimo,rp,fimo,-7.175769104571194,0.00010580909099549943,True,4.538354866782388,-0.2368223866790009,0.0006348545459729965,True,***
accuracy,rp vs deep,rp,deep,-6.322341942586456,0.0002311773459842183,True,3.9986001369973407,-0.21702323234496268,0.0013870640759053097,True,**
accuracy,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
accuracy,rp vs reg,rp,reg,-6.9677674252269455,0.00013352199389762143,True,4.406803054008823,-0.22793709528214612,0.0008011319633857286,True,***
accuracy,reg vs fimo,reg,fimo,-0.29520334790771424,0.7753581354970899,False,0.18670299045909572,-0.008885291396854789,1.0,False,ns
accuracy,reg vs deep,reg,deep,0.345985397663434,0.7383796540224108,False,0.2188203787551101,0.010913862937183438,1.0,False,ns
accuracy,reg vs rp,reg,rp,6.9677674252269455,0.00013352199389762143,True,4.406803054008823,0.22793709528214612,0.0008011319633857286,True,***
accuracy,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,fimo vs deep,fimo,deep,0.7652343592326677,0.4661935041119465,False,0.48397670379894586,0.025421477990909436,1.0,False,ns
f1,fimo vs rp,fimo,rp,6.371978580889739,0.0002249400158356487,True,4.0299931034838075,0.1951707623683393,0.0013496400950138922,True,**
f1,fimo vs reg,fimo,reg,0.3808703565790529,0.7132540590320595,False,0.24088356400606073,0.011865297886406112,1.0,False,ns
f1,deep vs fimo,deep,fimo,-0.7652343592326677,0.4661935041119465,False,0.48397670379894586,-0.025421477990909436,1.0,False,ns
f1,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,deep vs rp,deep,rp,5.343534438058461,0.0007546292357123152,True,3.379547915962533,0.16974928437742987,0.004527775414273891,True,**
f1,deep vs reg,deep,reg,-0.4200555167422077,0.6856759971110087,False,0.26566643532487366,-0.013556180104503324,1.0,False,ns
f1,rp vs fimo,rp,fimo,-6.371978580889739,0.0002249400158356487,True,4.0299931034838075,-0.1951707623683393,0.0013496400950138922,True,**
f1,rp vs deep,rp,deep,-5.343534438058461,0.0007546292357123152,True,3.379547915962533,-0.16974928437742987,0.004527775414273891,True,**
f1,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
f1,rp vs reg,rp,reg,-6.193066970684828,0.00026286170025729326,True,3.9168394658646584,-0.1833054644819332,0.0015771702015437597,True,**
f1,reg vs fimo,reg,fimo,-0.3808703565790529,0.7132540590320595,False,0.24088356400606073,-0.011865297886406112,1.0,False,ns
f1,reg vs deep,reg,deep,0.4200555167422077,0.6856759971110087,False,0.26566643532487366,0.013556180104503324,1.0,False,ns
f1,reg vs rp,reg,rp,6.193066970684828,0.00026286170025729326,True,3.9168394658646584,0.1833054644819332,0.0015771702015437597,True,**
f1,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,fimo vs deep,fimo,deep,0.6863216151747064,0.5123306433876847,False,0.43406790227153064,0.0251462998602473,1.0,False,ns
precision,fimo vs rp,fimo,rp,4.26740439145906,0.003000493680044405,True,2.6989435148030845,0.1314172383416633,0.01800296208026643,True,*
precision,fimo vs reg,fimo,reg,0.38982371023277074,0.706971912721872,False,0.24654616205460853,0.012471479810243435,1.0,False,ns
precision,deep vs fimo,deep,fimo,-0.6863216151747064,0.5123306433876847,False,0.43406790227153064,-0.0251462998602473,1.0,False,ns
precision,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,deep vs rp,deep,rp,3.134651724494107,0.01603166073191485,True,1.9825278241551998,0.106270938481416,0.09618996439148911,False,ns
precision,deep vs reg,deep,reg,-0.3622110398601182,0.7271974102627861,False,0.22908237592320205,-0.012674820050003865,1.0,False,ns
precision,rp vs fimo,rp,fimo,-4.26740439145906,0.003000493680044405,True,2.6989435148030845,-0.1314172383416633,0.01800296208026643,True,*
precision,rp vs deep,rp,deep,-3.134651724494107,0.01603166073191485,True,1.9825278241551998,-0.106270938481416,0.09618996439148911,False,ns
precision,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
precision,rp vs reg,rp,reg,-4.127576516707098,0.003368280510691263,True,2.610508601883694,-0.11894575853141987,0.02020968306414758,True,*
precision,reg vs fimo,reg,fimo,-0.38982371023277074,0.706971912721872,False,0.24654616205460853,-0.012471479810243435,1.0,False,ns
precision,reg vs deep,reg,deep,0.3622110398601182,0.7271974102627861,False,0.22908237592320205,0.012674820050003865,1.0,False,ns
precision,reg vs rp,reg,rp,4.127576516707098,0.003368280510691263,True,2.610508601883694,0.11894575853141987,0.02020968306414758,True,*
precision,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
recall,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
recall,fimo vs deep,fimo,deep,0.6217365641798659,0.551547397605399,False,0.39322072948316683,0.019799154334038227,1.0,False,ns
recall,fimo vs rp,fimo,rp,7.175769104571194,0.00010580909099549943,True,4.538354866782388,0.2368223866790009,0.0006348545459729965,True,***
recall,fimo vs reg,fimo,reg,0.29520334790771424,0.7753581354970899,False,0.18670299045909572,0.008885291396854789,1.0,False,ns
recall,deep vs fimo,deep,fimo,-0.6217365641798659,0.551547397605399,False,0.39322072948316683,-0.019799154334038227,1.0,False,ns
recall,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
recall,deep vs rp,deep,rp,6.322341942586456,0.0002311773459842183,True,3.9986001369973407,0.21702323234496268,0.0013870640759053097,True,**
recall,deep vs reg,deep,reg,-0.345985397663434,0.7383796540224108,False,0.2188203787551101,-0.010913862937183438,1.0,False,ns
recall,rp vs fimo,rp,fimo,-7.175769104571194,0.00010580909099549943,True,4.538354866782388,-0.2368223866790009,0.0006348545459729965,True,***
recall,rp vs deep,rp,deep,-6.322341942586456,0.0002311773459842183,True,3.9986001369973407,-0.21702323234496268,0.0013870640759053097,True,**
recall,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
recall,rp vs reg,rp,reg,-6.9677674252269455,0.00013352199389762143,True,4.406803054008823,-0.22793709528214612,0.0008011319633857286,True,***
recall,reg vs fimo,reg,fimo,-0.29520334790771424,0.7753581354970899,False,0.18670299045909572,-0.008885291396854789,1.0,False,ns
recall,reg vs deep,reg,deep,0.345985397663434,0.7383796540224108,False,0.2188203787551101,0.010913862937183438,1.0,False,ns
recall,reg vs rp,reg,rp,6.9677674252269455,0.00013352199389762143,True,4.406803054008823,0.22793709528214612,0.0008011319633857286,True,***
recall,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
auc,fimo vs fimo,fimo,fimo,0.0,1.0,False,0.0,0.0,1.0,False,ns
auc,fimo vs deep,fimo,deep,1.3065146003811143,0.2281656551499789,False,0.826312386693803,0.032525379677082356,1.0,False,ns
auc,fimo vs rp,fimo,rp,4.6315384163112725,0.0075252959317625235,True,2.9292420932225545,0.3275567079978845,0.04515177559057514,True,*
auc,fimo vs reg,fimo,reg,0.7278928334713869,0.4916224605542272,False,0.4603598492566458,0.02310615854733511,1.0,False,ns
auc,deep vs fimo,deep,fimo,-1.3065146003811143,0.2281656551499789,False,0.826312386693803,-0.032525379677082356,1.0,False,ns
auc,deep vs deep,deep,deep,0.0,1.0,False,0.0,0.0,1.0,False,ns
auc,deep vs rp,deep,rp,4.1416915554704445,0.010807667979151595,True,2.619435736234443,0.29503132832080214,0.06484600787490957,False,ns
auc,deep vs reg,deep,reg,-0.2865814369633159,0.782630944839327,False,0.18125001518560932,-0.009419221129747246,1.0,False,ns
auc,rp vs fimo,rp,fimo,-4.6315384163112725,0.0075252959317625235,True,2.9292420932225545,-0.3275567079978845,0.04515177559057514,True,*
auc,rp vs deep,rp,deep,-4.1416915554704445,0.010807667979151595,True,2.619435736234443,-0.29503132832080214,0.06484600787490957,False,ns
auc,rp vs rp,rp,rp,0.0,1.0,False,0.0,0.0,1.0,False,ns
auc,rp vs reg,rp,reg,-4.119360416457008,0.008402735093794808,True,2.6053122838287814,-0.3044505494505494,0.050416410562768854,False,ns
auc,reg vs fimo,reg,fimo,-0.7278928334713869,0.4916224605542272,False,0.4603598492566458,-0.02310615854733511,1.0,False,ns
auc,reg vs deep,reg,deep,0.2865814369633159,0.782630944839327,False,0.18125001518560932,0.009419221129747246,1.0,False,ns
auc,reg vs rp,reg,rp,4.119360416457008,0.008402735093794808,True,2.6053122838287814,0.3044505494505494,0.050416410562768854,False,ns
auc,reg vs reg,reg,reg,0.0,1.0,False,0.0,0.0,1.0,False,ns
