accuracy,f1,precision,recall,auc,data_type,fold,model
0.852112676056338,0.8363042098107635,0.8352157858201996,0.852112676056338,0.8990225563909774,fimo,1,RF_CFS
0.7793240556660039,0.789442861005998,0.805561671628429,0.7793240556660039,0.8230648868026013,fimo,2,RF_CFS
0.80440097799511,0.7966307531099708,0.7926667935522599,0.80440097799511,0.8330611133796106,fimo,3,RF_CFS
0.7614678899082569,0.7327134696703678,0.7148098145704848,0.7614678899082569,0.7292681277056277,fimo,4,RF_CFS
0.7615384615384615,0.7172253803900847,0.7239622349481504,0.7615384615384615,0.8042091836734694,fimo,5,RF_CFS
0.8519900497512438,0.8470334357829089,0.8426143399110948,0.8519900497512438,0.8270945285784074,deep,1,RF_CFS
0.8913525498891353,0.8720315008792722,0.8801370818167873,0.8913525498891353,0.9204201440026182,deep,2,RF_CFS
0.8576195773081201,0.8531062250336521,0.8487467817283906,0.8576195773081201,0.8745220716023636,deep,3,RF_CFS
0.8483353884093712,0.8417987186162063,0.8364640167227487,0.8483353884093712,0.8535815459328207,deep,4,RF_CFS
0.8981233243967829,0.901497278891217,0.905842920029694,0.8981233243967829,0.8228312473025462,deep,5,RF_CFS
0.7997847147470398,0.7890367760628385,0.7889354579066027,0.7997847147470398,0.7924345721168465,rp,1,RF_CFS
0.6631679389312977,0.6583432583688333,0.6538735181909763,0.6631679389312977,0.6398607263577909,rp,2,RF_CFS
0.7218875502008032,0.7171964968306963,0.7129970096837567,0.7218875502008032,0.7271818413066496,rp,3,RF_CFS
0.6678614097968937,0.6426654604957535,0.6262613247127168,0.6678614097968937,0.6127720032902115,rp,4,RF_CFS
0.6767091541135574,0.6122917233514185,0.5875452700172079,0.6767091541135574,0.6275147137506687,rp,5,RF_CFS
0.9342421812349639,0.9324993467926799,0.9311632220331932,0.9342421812349639,0.9376823978974864,reg,1,RF_CFS
0.8921161825726142,0.8727603875537552,0.8576308802721738,0.8921161825726142,0.8169482709140479,reg,2,RF_CFS
0.9453302961275627,0.9465278925817583,0.9479020778759325,0.9453302961275627,0.9466818490550961,reg,3,RF_CFS
0.8664158043273753,0.8818108842027557,0.9043669898188187,0.8664158043273753,0.8855755254597051,reg,4,RF_CFS
0.93239901071723,0.9289581697831407,0.9265449816366911,0.93239901071723,0.9335566394389925,reg,5,RF_CFS
0.8661971830985915,0.8602757374218255,0.8575481634473356,0.8661971830985915,0.8991353383458647,fimo,1,RF_PCA
0.8469184890656064,0.8471963021057601,0.847482387230018,0.8469184890656064,0.832135347904748,fimo,2,RF_PCA
0.7799511002444988,0.7723125109864647,0.7673983011715361,0.7799511002444988,0.8553150945964338,fimo,3,RF_PCA
0.8830275229357798,0.8791826454559976,0.8776625063944052,0.8830275229357798,0.8710430194805195,fimo,4,RF_PCA
0.8512820512820513,0.8457984259964457,0.8450690335305721,0.8512820512820513,0.9226544784580499,fimo,5,RF_PCA
0.8669154228855721,0.8609266805136659,0.8560271345603941,0.8669154228855721,0.8541615779189057,deep,1,RF_PCA
0.8547671840354767,0.8386524414553403,0.830833536652394,0.8547671840354767,0.9038107511045655,deep,2,RF_PCA
0.9154616240266963,0.91159162237629,0.9086370407428893,0.9154616240266963,0.9378772079502006,deep,3,RF_PCA
0.9112207151664612,0.9057508600636751,0.9040330664677009,0.9112207151664612,0.9314042897612302,deep,4,RF_PCA
0.8927613941018767,0.8984739121468344,0.9068394960046988,0.8927613941018767,0.8345381959430297,deep,5,RF_PCA
0.8008611410118407,0.7883548876437232,0.7898501080000058,0.8008611410118407,0.7742650326262366,rp,1,RF_PCA
0.8129770992366412,0.8095379145847775,0.8071115407148558,0.8129770992366412,0.8373039875975297,rp,2,RF_PCA
0.8172690763052208,0.8122105600745501,0.8089741620182733,0.8172690763052208,0.8295344971397811,rp,3,RF_PCA
0.7825567502986858,0.7785836270784906,0.775824732455476,0.7825567502986858,0.8572048156733718,rp,4,RF_PCA
0.7497103128621089,0.7390452062584975,0.7349385463527855,0.7497103128621089,0.7719703049759229,rp,5,RF_PCA
0.9262229350441058,0.9220443290701809,0.9194851119450882,0.9262229350441058,0.9434223891907579,reg,1,RF_PCA
0.8887966804979253,0.8855855462363433,0.8826225951331416,0.8887966804979253,0.8960889295451284,reg,2,RF_PCA
0.9286256643887624,0.9351054702940622,0.9447575932400408,0.9286256643887624,0.9613548283990572,reg,3,RF_PCA
0.8984007525870179,0.9045647279635397,0.9125960225087312,0.8984007525870179,0.847489790738989,reg,4,RF_PCA
0.9332234130255564,0.935540983185152,0.9384544916394427,0.9332234130255564,0.9536346006934242,reg,5,RF_PCA
0.9131455399061033,0.9114790255130418,0.9105859939403399,0.9131455399061033,0.9423684210526315,fimo,1,xgboost_CFS
0.7455268389662028,0.763380369463975,0.7987358184410325,0.7455268389662028,0.803823773898587,fimo,2,xgboost_CFS
0.8190709046454768,0.8190709046454768,0.8190709046454768,0.8190709046454768,0.848543623247584,fimo,3,xgboost_CFS
0.7201834862385321,0.703341064281117,0.6892049509948993,0.7201834862385321,0.561620670995671,fimo,4,xgboost_CFS
0.7384615384615385,0.7026644069868936,0.6943221591351015,0.7384615384615385,0.7238520408163265,fimo,5,xgboost_CFS
0.849502487562189,0.8476638586566835,0.8459029816052236,0.849502487562189,0.8181790425012213,deep,1,xgboost_CFS
0.8880266075388027,0.8796953427006824,0.8767592578887995,0.8880266075388027,0.8887047946326297,deep,2,xgboost_CFS
0.8665183537263627,0.8649005907318812,0.8633171968175414,0.8665183537263627,0.8569848642841343,deep,3,xgboost_CFS
0.8372379778051788,0.8365705755952487,0.8359150796724945,0.8372379778051788,0.8354107648725212,deep,4,xgboost_CFS
0.8793565683646113,0.8857831511651888,0.8946719669655789,0.8793565683646113,0.7720112214069919,deep,5,xgboost_CFS
0.8030139935414424,0.7914545440509818,0.7924324487028832,0.8030139935414424,0.7828308814930889,rp,1,xgboost_CFS
0.6459923664122137,0.6509213348898935,0.6562730875185857,0.6459923664122137,0.561709914351793,rp,2,xgboost_CFS
0.6877510040160643,0.6900157189679841,0.6923762513564198,0.6877510040160643,0.6290293002372178,rp,3,xgboost_CFS
0.6332138590203107,0.6140811192876057,0.5990347419654848,0.6332138590203107,0.5374261571823824,rp,4,xgboost_CFS
0.6767091541135574,0.6187550547689941,0.5976761592325649,0.6767091541135574,0.5557718031032638,rp,5,xgboost_CFS
0.9326383319967922,0.9288230830640782,0.9267399600491011,0.9326383319967922,0.9386578739459216,reg,1,xgboost_CFS
0.8846473029045643,0.8683604690538821,0.8545730541873172,0.8846473029045643,0.7460270483570096,reg,2,xgboost_CFS
0.9453302961275627,0.947082117588908,0.9492218961212232,0.9453302961275627,0.9384513963801989,reg,3,xgboost_CFS
0.8777046095954845,0.8880308296485758,0.9017776918776518,0.8777046095954845,0.876623676256835,reg,4,xgboost_CFS
0.93239901071723,0.93019288331354,0.9284261325648409,0.93239901071723,0.9080037609449374,reg,5,xgboost_CFS
0.8755868544600939,0.8745998350328678,0.8737337161494586,0.8755868544600939,0.9119924812030076,fimo,1,xgboost_PCA
0.8190854870775348,0.8235570995533822,0.8296584251631173,0.8190854870775348,0.81851743191042,fimo,2,xgboost_PCA
0.784841075794621,0.7864206870718915,0.7881624588704971,0.784841075794621,0.8649448754593712,fimo,3,xgboost_PCA
0.9036697247706422,0.9053054269362399,0.907749000473094,0.9036697247706422,0.8964082792207793,fimo,4,xgboost_PCA
0.8794871794871795,0.8788365986335529,0.8783149944440267,0.8794871794871795,0.9464994331065759,fimo,5,xgboost_PCA
0.8345771144278606,0.8364738051189514,0.8384379158466261,0.8345771144278606,0.8186217635564239,deep,1,xgboost_PCA
0.8713968957871396,0.8671878377952635,0.8640268570077503,0.8713968957871396,0.9266588937980691,deep,2,xgboost_PCA
0.9254727474972191,0.9223294459389797,0.9200649382547473,0.9254727474972191,0.9352545264954024,deep,3,xgboost_PCA
0.905055487053021,0.9004764774342707,0.8981694275920671,0.905055487053021,0.931471738837178,deep,4,xgboost_PCA
0.8766756032171582,0.8796705007498935,0.883105492706522,0.8766756032171582,0.8367680909221694,deep,5,xgboost_PCA
0.8180839612486545,0.8070365542676716,0.8098820066811897,0.8180839612486545,0.7801997333769909,rp,1,xgboost_PCA
0.773854961832061,0.7783573308885758,0.7842697655295675,0.773854961832061,0.8014435662185173,rp,2,xgboost_PCA
0.8293172690763052,0.8249383148107498,0.8222052467062246,0.8293172690763052,0.8440396822110351,rp,3,xgboost_PCA
0.7956989247311828,0.7949060829941627,0.7941763009674725,0.7956989247311828,0.8650190682718912,rp,4,xgboost_PCA
0.7555040556199305,0.7492291551010585,0.7456757392208423,0.7555040556199305,0.7391185125735688,rp,5,xgboost_PCA
0.9326383319967922,0.9291802751071051,0.9271580528901548,0.9326383319967922,0.9506296254494446,reg,1,xgboost_PCA
0.8946058091286307,0.9001666325917718,0.9070445689675101,0.8946058091286307,0.8846140048787487,reg,2,xgboost_PCA
0.9453302961275627,0.9506734484365871,0.9604398037027412,0.9453302961275627,0.9759578888489353,reg,3,xgboost_PCA
0.8889934148635936,0.8983664453733228,0.9115112028315152,0.8889934148635936,0.8836144244745403,reg,4,xgboost_PCA
0.9472382522671063,0.9491805903317342,0.9518830266319243,0.9472382522671063,0.9662592309651132,reg,5,xgboost_PCA
